dropoutRate,kernLength,F1,D,F2,bandpass,amplitude_magnification,accuracy
0.5,32,16,2,16,"[4, 40]",1000,0.5451388888888888
0.5,32,16,2,16,"[4, 40]",2000,0.6041666666666666
0.5,32,16,2,16,"[8, 30]",1000,0.5694444444444444
0.5,32,16,2,16,"[8, 30]",2000,0.5451388888888888
0.5,32,16,2,32,"[4, 40]",1000,0.5972222222222222
0.5,32,16,2,32,"[4, 40]",2000,0.5659722222222222
0.5,32,16,2,32,"[8, 30]",1000,0.5694444444444444
0.5,32,16,2,32,"[8, 30]",2000,0.5833333333333334
0.5,32,16,4,16,"[4, 40]",1000,0.59375
0.5,32,16,4,16,"[4, 40]",2000,0.5590277777777778
0.5,32,16,4,16,"[8, 30]",1000,0.5659722222222223
0.5,32,16,4,16,"[8, 30]",2000,0.5868055555555556
0.5,32,16,4,32,"[4, 40]",1000,0.5659722222222222
0.5,32,16,4,32,"[4, 40]",2000,0.5659722222222222
0.5,32,16,4,32,"[8, 30]",1000,0.5868055555555556
0.5,32,16,4,32,"[8, 30]",2000,0.6041666666666667

BEST RESULTS:
0.5,32,8,4,32,"[4, 40]",2000 - good
0.25,16,8,4,32,"[4, 40]",1000 - good
0.1,64,4,4,16,"[4, 40]",1000, l2 = 0.00005 - worse
0.4,64,4,4,16,"[4, 40]",1000, l2 = 0.10366348600096517 - better

